,director,link,city,state,country,nm_film_directed,nm_of_wins,nm_of_nominations
371,Sidney Lumet,http://www.imdb.com/name/nm0001486/?ref_=sr_t_1,Philadelphia,Pennsylvania,USA,74,38,52
372,Sion Sono,http://www.imdb.com/name/nm0814469/?ref_=sr_t_1,Toyokawa,Aichi,Japan,65,28,30
373,Sofia Coppola,http://www.imdb.com/name/nm0001068/?ref_=sr_t_1,New York City,New York,USA,27,63,84
374,Spike Jonze,http://www.imdb.com/name/nm0005069/?ref_=sr_t_1,Rockville,Maryland,USA,108,67,125
375,Spike Lee,http://www.imdb.com/name/nm0000490/?ref_=sr_t_1,Atlanta,Georgia,USA,134,96,185
376,Stephanie Spray,http://www.imdb.com/name/nm5856477/?ref_=sr_t_1,,,,1,6,11
377,Stephen Chow,http://www.imdb.com/name/nm0159507/?ref_=sr_t_1,,,Hong Kong,11,19,41
378,Stephen Daldry,http://www.imdb.com/name/nm0197636/?ref_=sr_t_1,Dorset,England,UK,12,44,55
379,Stephen Frears,http://www.imdb.com/name/nm0001241/?ref_=sr_t_1,Leicester,Leicestershire,"England, UK",72,78,78
380,Stevan Riley,http://www.imdb.com/name/nm2257147/?ref_=sr_t_1,,,,6,4,17
381,Steve McQueen,http://www.imdb.com/name/nm2588606/?ref_=sr_t_1,London,England,UK,37,100,134
382,Steven Knight,http://www.imdb.com/name/nm1140275/?ref_=sr_t_1,Marlborough,England,UK,4,12,36
383,Steven Soderbergh,http://www.imdb.com/name/nm0001752/?ref_=sr_t_1,Atlanta,Georgia,USA,53,32,93
384,Steven Spielberg,http://www.imdb.com/name/nm0000229/?ref_=sr_t_1,Cincinnati,Ohio,USA,60,216,350
385,Sudhir Mishra,http://www.imdb.com/name/nm0592803/?ref_=sr_t_1,Lucknow,Uttar Pradesh,India,24,3,8
386,Susanne Bier,http://www.imdb.com/name/nm0081540/?ref_=sr_t_1,Copenhagen,,Denmark,23,43,41
387,Takahisa Zeze,http://www.imdb.com/name/nm0955270/?ref_=sr_t_1,"Matama, Ôita, Japan [now Bungotakada",Japan [now Bungotakada,"Ôita, Japan]",63,23,18
388,Takeshi Kitano,http://www.imdb.com/name/nm0001429/?ref_=sr_t_1,Tokyo,,Japan,22,58,49
389,Tan Pin Pin,https://www.imdb.com/name/nm2566810/?ref_=fn_all_nme_1,,,,14,5,11
390,Terence Davies,http://www.imdb.com/name/nm0203993/?ref_=sr_t_1,Liverpool,England,UK,15,22,50
391,Terrence Malick,http://www.imdb.com/name/nm0000517/?ref_=sr_t_1,Ottawa,Illinois,USA,18,48,69
392,Terry George,http://www.imdb.com/name/nm0313623/?ref_=sr_t_1,Belfast,Northern Ireland,UK,13,13,18
393,Terry Zwigoff,http://www.imdb.com/name/nm0959062/?ref_=sr_t_1,Appleton,Wisconsin,USA,7,16,26
394,Thom Andersen,http://www.imdb.com/name/nm0026263/?ref_=sr_t_1,Chicago,Illinois,USA,10,2,1
395,Thomas Vinterberg,http://www.imdb.com/name/nm0899121/?ref_=sr_t_1,Copenhagen,,Denmark,24,80,74
396,Tigmanshu Dhulia,http://www.imdb.com/name/nm0223606/?ref_=sr_t_1,Allahabad,Uttar Pradesh,India,27,11,16
397,Todd Haynes,http://www.imdb.com/name/nm0001331/?ref_=sr_t_1,Los Angeles,California,USA,21,67,119
398,Tom Ford,http://www.imdb.com/name/nm1053530/?ref_=sr_t_1,Austin,Texas,USA,2,12,51
399,Tom Hooper,http://www.imdb.com/name/nm0393799/?ref_=sr_t_1,London,England,UK,25,36,50
400,Tom McCarthy,http://www.imdb.com/name/nm0565336/?ref_=sr_t_1,New Providence,New Jersey,USA,10,77,101
401,Tom McGrath,http://www.imdb.com/name/nm0569891/?ref_=sr_t_1,Lynnwood,Washington,USA,11,1,11
402,Tomas Alfredson,http://www.imdb.com/name/nm0019247/?ref_=sr_t_1,Lidingö,Stockholms län,Sweden,35,40,32
403,Tomm Moore,http://www.imdb.com/name/nm1119079/?ref_=sr_t_1,Newry,Northern Ireland,UK,5,27,40
404,Tommy Lee Jones,http://www.imdb.com/name/nm0000169/?ref_=fn_all_nme_1,San Saba,Texas,USA,4,44,90
405,Tony Gilroy,http://www.imdb.com/name/nm0006904/?ref_=sr_t_1,Manhattan,New York City,"New York, USA",3,4,51
406,Tony Scott,http://www.imdb.com/name/nm0001716/?ref_=sr_t_1,North Shields,Northumberland,"England, UK",32,7,14
